id,segment,num_views,num_votes,num_comments,act_status
257507,NewHaven,699.3,0,3,Archived
218083,NewHaven,0,0,0,Archived
84810,NewHaven,697.5,0,3,Archived
368830,NewHaven,19.8,3,1,Acknowledged
45978,Oakland,5.4,0,0,Archived
66764,NewHaven,1.8,2,0,Acknowledged
114692,NewHaven,6.3,0,0,Closed
139207,Oakland,5.4,2,0,Acknowledged
217935,NewHaven,398.7,0,13,Archived
51492,NewHaven,0,0,0,Archived
30189,NewHaven,61.2,3,0,Acknowledged
349716,NewHaven,1.8,4,0,Open
346229,Oakland,12.6,0,1,Archived
186457,NewHaven,108.9,18,5,Open
223367,NewHaven,1.8,0,0,Archived
210824,NewHaven,0.9,1,0,Open
404969,NewHaven,397.8,0,1,Archived
201050,NewHaven,0.9,1,0,Open
165720,NewHaven,2.7,2,0,Open
109515,NewHaven,253.8,0,2,Archived
331583,Oakland,8.1,0,0,Archived
316085,Oakland,4.5,0,0,Archived
347469,NewHaven,51.3,3,0,Acknowledged
288050,Oakland,11.7,0,1,Archived
290360,NewHaven,304.2,0,4,Closed
12838,Oakland,18,0,3,Archived
10438,NewHaven,1.8,0,0,Archived
46915,Oakland,8.1,1,1,Archived
85694,NewHaven,20.7,7,3,Acknowledged
226590,Richmond,337.5,0,1,Archived
275777,NewHaven,0.9,0,0,Archived
183335,NewHaven,326.7,0,0,Archived
366896,NewHaven,3.6,1,0,Open
175749,Oakland,3.6,0,1,Archived
23616,NewHaven,2.7,0,1,Archived
129802,NewHaven,4.5,0,0,Archived
151058,Oakland,37.8,19,10,Open
376104,NewHaven,0.9,0,0,Archived
165533,NewHaven,1.8,2,0,Acknowledged
103598,NewHaven,1.8,0,1,Archived
58548,NewHaven,1.8,0,0,Archived
118340,NewHaven,1.8,1,0,Open
134773,Oakland,14.4,0,4,Archived
325274,NewHaven,2.7,1,0,Open
200014,NewHaven,4.5,1,0,Open
124537,NewHaven,0.9,0,0,Archived
83688,NewHaven,1.8,3,2,Open
110633,NewHaven,2.7,3,0,Acknowledged
200279,NewHaven,538.2,0,9,Archived
28376,NewHaven,0.9,0,0,Archived
112571,NewHaven,0.9,0,0,Archived
79238,NewHaven,0.9,0,0,Archived
161435,NewHaven,0.9,0,0,Archived
366002,Oakland,10.8,6,0,Acknowledged
146832,NewHaven,422.1,0,81,Archived
154511,Oakland,8.1,0,0,Archived
362016,NewHaven,15.3,2,0,Acknowledged
311252,Oakland,4.5,5,0,Acknowledged
198781,Oakland,3.6,2,0,Acknowledged
99966,Oakland,0.9,2,0,Acknowledged
22880,Oakland,3.6,4,0,Acknowledged
188026,Oakland,2.7,3,0,Acknowledged
386937,NewHaven,2.7,0,0,Archived
102862,NewHaven,280.8,0,1,Archived
224640,Oakland,9.9,8,0,Acknowledged
23344,Oakland,4.5,4,0,Acknowledged
169001,Oakland,15.3,6,3,Acknowledged
385205,NewHaven,2.7,0,0,Archived
96489,NewHaven,2.7,0,0,Archived
383636,NewHaven,2.7,3,0,Acknowledged
369206,NewHaven,151.2,3,4,Archived
103824,NewHaven,341.1,1,5,Archived
232981,NewHaven,4.5,0,0,Archived
25729,NewHaven,6.3,0,1,Archived
89241,Richmond,57.6,0,13,Archived
308095,NewHaven,3.6,0,0,Archived
357367,NewHaven,405.9,0,48,Archived
53189,Richmond,167.4,0,8,Archived
263482,NewHaven,209.7,6,0,Open
321245,NewHaven,9.9,0,0,Archived
370736,Oakland,4.5,0,0,Archived
