Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,avg_wage
06511,STANDARD,,CT,,,,,,,,,29253
06510,,,,,,,,,,,,21551
06515,STANDARD,,,,,,,,,,,36717
10001,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,12534,16553,1031960117,82332.86397
10002,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,45236,70604,1394042364,30817.10063
10003,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,28817,36569,,0
10004,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,1967,2909,333623384,169610.2613
10005,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,4697,6293,791578339,168528.4946
10006,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,2236,2849,240075649,107368.3582
10007,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,3551,5396,1143186856,321933.7809
10008,PO BOX,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,550,732,27103411,49278.92909
10009,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,31275,42731,1572036810,50264.96595
1001,STANDARD,AGAWAM,MA,PRIMARY,42.06,-72.61,NA-US-MA-AGAWAM,FALSE,8596,14021,337735143,39289.80258
10010,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,17401,22785,2084544435,119794.5196
10011,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,30434,38784,1264531973,41549.97611
10012,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,13415,17738,1529644615,114024.9433
10013,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,15981,24199,450956340,28218.28046
10014,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,19374,24292,,0
10015,STANDARD,NEW YORK,NY,PRIMARY,40.71,-74,NA-US-NY-NEW YORK,TRUE,,,,#DIV/0!
10016,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,31673,40683,1412438620,44594.40596
10017,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,15803,19975,1685441363,106653.2534
10018,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,4416,5928,810026753,183429.9712
10019,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,24515,31889,,0
1002,STANDARD,AMHERST,MA,PRIMARY,42.37,-72.52,NA-US-MA-AMHERST,FALSE,10167,16532,415081243,40826.32468
10020,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,1134,1926,207363546,182860.2698
10021,STANDARD,NEW YORK,NY,PRIMARY,40.77,-73.95,NA-US-NY-NEW YORK,FALSE,29820,42627,1022024689,34273.1284
10022,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,20815,29014,731534552,35144.58573
10023,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,34334,48044,1270483799,37003.66398
10024,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,31925,47261,1108944328,34735.92257
10025,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,47778,70190,1675737238,35073.40697
10026,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,16054,24221,647150670,40310.8677
10027,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,25372,37948,918919244,36217.84818
10028,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,25557,36525,964357485,37733.59491
10029,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,31490,48403,1050141146,33348.40095
1003,PO BOX,AMHERST,MA,PRIMARY,42.37,-72.52,NA-US-MA-AMHERST,FALSE,,,,#DIV/0!
10030,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,11541,17771,345769267,29960.07859
10031,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,26900,40901,718068721,26694.0045
10032,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,29755,45758,754754912,25365.64987
10033,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,30134,45474,881087274,29238.97504
10034,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,20855,32614,604187876,28970.88832
10035,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,13067,20395,371898932,28460.92692
10036,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,17030,21944,1686575064,99035.5293
10037,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,9077,13151,302363285,33310.92707
10038,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,10679,15088,706843206,66190.01835
10039,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,11473,17839,314410796,27404.41001
1004,PO BOX,AMHERST,MA,PRIMARY,42.37,-72.52,NA-US-MA-AMHERST,FALSE,496,742,17272423,34823.43347
10040,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,21218,33218,609860211,28742.587
10041,STANDARD,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,,,,#DIV/0!
10043,UNIQUE,NEW YORK,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,FALSE,,,,#DIV/0!
